name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_reviews,reviews_per_month,host_listings_count,availability_365,number_of_reviews_ltm,has_license
Cozy Modern 2 Bedroom Apartment 20 min from City,Christopher,Brooklyn,Bedford-Stuyvesant,40.69101,-73.95018,Entire home/apt,217.0,4,288,1.78,1,287,33,1
Stunning NYC Views! Free Gym! Doorman! Terrace!,Claudia,Manhattan,Nolita,40.72032,-73.99462,Entire home/apt,495.0,30,26,0.16,2,249,1,0
"Maison de sirenes 2, bohemian, ecclectic apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,40.684569430603325,-73.93840021354636,Entire home/apt,165.0,30,173,1.03,2,144,0,0
"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",Keishera,Brooklyn,Crown Heights,40.6736,-73.9551,Entire home/apt,150.0,7,161,0.95,1,48,12,1
"The Brooklyn Waverly, One Bedroom",Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,171.0,30,11,0.07,3,365,0,0
Groovy NYC Chelsea Pad,Peter Michael,Manhattan,Chelsea,40.75077,-73.99657,Entire home/apt,150.0,30,18,0.11,1,176,0,0
"MANHATTAN Cozy, Neat, Nice, Bright ROOM",Giorgio,Manhattan,Washington Heights,40.85433,-73.9324,Private room,62.0,30,150,0.89,1,173,0,0
Large Modern Park Slope 1BR with Balcony,Mi,Brooklyn,Gowanus,40.66952,-73.99201,Entire home/apt,100.0,30,124,0.74,1,89,5,0
Clean&Serene in Scenic Fort Greene,Gordon,Brooklyn,Fort Greene,40.693047,-73.971985,Entire home/apt,260.0,30,285,1.69,1,60,0,0
surf/stay regular,Michelle,Queens,Rockaway Beach,40.58603,-73.8145,Private room,114.0,30,16,0.1,1,90,0,0
Bright Room With A Great River View,Alicia,Manhattan,Harlem,40.82772,-73.95284,Private room,81.0,30,472,2.81,1,175,4,0
Tree lined block modern apartment,Olivia,Brooklyn,Bedford-Stuyvesant,40.68647,-73.95862,Entire home/apt,161.0,30,124,0.74,1,83,2,0
Sweet Historic Greenpoint Duplex,Maya,Brooklyn,Greenpoint,40.72741,-73.95466,Entire home/apt,175.0,30,353,2.11,2,84,1,0
ALL ABOUT A VERY COMFORTABLE ROOM..,Carol,Brooklyn,Fort Greene,40.69132,-73.97306,Private room,95.0,30,178,1.07,2,365,0,0
Brooklyn- Crown Heights Garden Apt.,Anthony,Brooklyn,Crown Heights,40.67582,-73.9518,Private room,60.0,30,275,1.65,2,364,2,0
Sun-Drenched Hamilton Hts Jewel,Jane,Manhattan,Harlem,40.82402,-73.95263,Private room,57.0,30,34,0.2,1,304,0,0
1 BDRM Apt-Weekend Sublease,Lilly,Queens,Astoria,40.76406,-73.92266,Entire home/apt,110.0,30,41,0.25,1,88,0,0
Style in Stuyvesant Heights,Roberta,Brooklyn,Bedford-Stuyvesant,40.68462,-73.92895,Entire home/apt,90.0,30,94,0.58,1,215,3,0
Authentic New York City Living,Desmond,Brooklyn,Bedford-Stuyvesant,40.68595,-73.92923,Entire home/apt,99.0,30,94,0.68,2,365,1,0
Garden apartment close to Manhattan,Christopher,Brooklyn,Fort Greene,40.68646,-73.97548,Entire home/apt,156.0,30,136,0.83,1,172,2,0
Historical space with exceptional light & art,Irena,Brooklyn,Park Slope,40.67497,-73.97796,Private room,266.0,7,46,0.3,1,71,4,1
Truly Amazing Oasis In Williamsburg,Daniel,Brooklyn,Williamsburg,40.71347,-73.96035,Entire home/apt,280.0,30,193,1.17,1,213,0,0
Architect's Brownstone,Orna,Brooklyn,Park Slope,40.67487,-73.97637,Private room,855.0,30,41,0.27,2,365,0,0
LUXURY OF THE HORIZON,Rinaldo & Jessa,Manhattan,Harlem,40.80687,-73.95333,Entire home/apt,259.0,30,30,0.18,2,365,0,0
Cozy authentic residence near Central Park,Julie,Manhattan,Harlem,40.80392,-73.94765,Entire home/apt,175.0,30,18,0.11,1,358,0,0
Garage Studio - Unique Designer Loft,Michail,Brooklyn,Williamsburg,40.71345,-73.94289,Entire home/apt,290.0,30,114,0.75,1,304,0,0
Best City Area Columbia U Upper West Side C Park,Alan,Manhattan,Upper West Side,40.79999,-73.96338,Entire home/apt,112.0,30,310,1.98,2,199,3,0
Colorful 2+ Bedroom Apt. on NYC's Lower East Side,Peter,Manhattan,Lower East Side,40.7203,-73.98424,Private room,475.0,4,81,0.49,1,203,21,1
Astoria/LIC  Private Home located near train,Gladys,Queens,Astoria,40.7573,-73.91488,Private room,164.0,2,532,3.24,1,341,11,1
Cozy private room and bathroom in a Brownstone,William,Manhattan,Harlem,40.80493,-73.94999,Private room,248.0,3,378,2.31,2,101,31,1
Large  Loft Style  Studio  Space,Tokunbo,Brooklyn,Bedford-Stuyvesant,40.68096,-73.94062,Entire home/apt,63.0,30,92,0.56,1,305,0,0
Hancock Town House!-Stuyvesant Mews,Fred,Brooklyn,Bedford-Stuyvesant,40.68511,-73.91927,Private room,162.0,30,27,0.16,4,365,0,0
Nice Manhattan Apt Near Central Park and Subway,Giancarlo,Manhattan,Upper West Side,40.79864,-73.96209,Entire home/apt,275.0,31,190,1.15,1,136,3,0
"Brooklyn- sunny, quiet, homelike-Park Slope South",Sara,Brooklyn,Windsor Terrace,40.65891,-73.98556,Entire home/apt,175.0,30,124,0.75,1,153,2,0
Very close to Downtown Awesome Private Apartment,Jeffrey,Brooklyn,Gravesend,40.60602,-73.97076,Entire home/apt,231.0,30,0,0.0,2,182,0,0
"Fort Greene, Brooklyn: Front Bedroom",Douglas,Brooklyn,Fort Greene,40.68877615321917,-73.97762359693657,Private room,106.0,2,270,2.05,2,163,67,1
spacious room,Jane,Brooklyn,Greenpoint,40.72852,-73.95655,Private room,78.0,30,261,1.58,1,90,0,0
Luxury 2Bed/2.5Bath Central Park View,Henry,Manhattan,Upper West Side,40.7751,-73.98595,Entire home/apt,2500.0,30,25,0.16,10,364,0,0
Cosy Sunny 1brm in Prospect Heights,Jenna,Brooklyn,Crown Heights,40.67545,-73.96096,Entire home/apt,101.0,30,31,0.19,1,45,0,0
Spacious Private Jr. One Bedroom Near NYU Hospital,Kathrine,Manhattan,Kips Bay,40.74045,-73.9749,Entire home/apt,150.0,30,130,0.79,1,121,3,0
High-end doorman bldg in the LES,Milind,Manhattan,East Village,40.72113,-73.98213,Private room,175.0,30,128,0.78,1,83,0,0
"Cozy Williamsburg Apt,  1bd/1ba  (30day minimum)",Dana,Brooklyn,Williamsburg,40.71422,-73.95984,Entire home/apt,117.0,30,27,0.16,1,269,0,0
Cozy entire studio Apartment,Mat,Manhattan,East Harlem,40.78959,-73.94705,Entire home/apt,88.0,30,126,0.77,1,337,1,0
Beautiful Grdn. Apt. in Park Slope,Alan,Brooklyn,Park Slope,40.66836,-73.98166,Entire home/apt,130.0,30,313,1.99,1,364,0,0
Presence Guest Room - Chelsea NYC,Tony,Manhattan,Chelsea,40.74697296939259,-74.00178397023312,Private room,125.0,2,153,0.95,1,92,27,1
"Cheerful, comfortable room",Susan,Manhattan,Washington Heights,40.83338,-73.94326,Private room,75.0,30,229,1.39,1,340,0,0
Covid Clean since '11!,Dennis,Brooklyn,Flatbush,40.65468,-73.95721,Private room,60.0,30,90,0.58,1,88,0,0
"Sunny, Large, Park Slope Bedroom",Elizabeth,Brooklyn,Park Slope,40.6767158,-73.9818207,Private room,105.0,3,230,1.4,1,61,0,1
Solo Travelers Private Garden XL Studio,Demi,Brooklyn,Crown Heights,40.67635,-73.96108,Entire home/apt,125.0,30,133,0.82,3,245,1,0
Serene Park Slope Garden Apartment,Andrea,Brooklyn,Park Slope,40.67466,-73.97853,Entire home/apt,190.0,30,106,0.79,1,363,0,0
St. James Place 1.5-2bdrm 1block to PRATT & Gtrain,Erica,Brooklyn,Clinton Hill,40.687,-73.96149,Entire home/apt,398.0,30,115,0.7,2,301,3,0
